W 00802000 03c9 f0ff  pc=0012973a  t=2.465570 s=108731
W 00802000 0409 f0ff  pc=0012972c  t=2.465571 s=108731
W 00802000 0449 f0ff  pc=0012973a  t=2.465571 s=108731
W 00802000 0489 f0ff  pc=0012972c  t=2.465572 s=108731
W 00802000 04c9 f0ff  pc=0012973a  t=2.465572 s=108731
W 00802000 0509 f0ff  pc=0012972c  t=2.465573 s=108731
W 00802000 0549 f0ff  pc=0012973a  t=2.465573 s=108731
W 00802000 0589 f0ff  pc=0012972c  t=2.465573 s=108731
W 00802000 05c9 f0ff  pc=0012973a  t=2.465574 s=108731
W 00802000 0609 f0ff  pc=0012972c  t=2.465574 s=108731
W 00802000 0649 f0ff  pc=0012973a  t=2.465574 s=108731
W 00802000 0689 f0ff  pc=0012972c  t=2.465575 s=108731
W 00802000 06c9 f0ff  pc=0012973a  t=2.465575 s=108731
W 00802000 0709 f0ff  pc=0012972c  t=2.465576 s=108731
W 00802000 0749 f0ff  pc=0012973a  t=2.465576 s=108731
W 00802000 0789 f0ff  pc=0012972c  t=2.465576 s=108731
W 00802000 07c9 f0ff  pc=0012973a  t=2.465577 s=108731
W 00802000 0809 f0ff  pc=0012972c  t=2.465577 s=108731
W 00802000 0849 f0ff  pc=0012973a  t=2.465578 s=108731
W 00802000 0889 f0ff  pc=0012972c  t=2.465578 s=108731
W 00802000 08c9 f0ff  pc=0012973a  t=2.465578 s=108732
W 00802000 0909 f0ff  pc=0012972c  t=2.465579 s=108732
W 00802000 0949 f0ff  pc=0012973a  t=2.465579 s=108732
W 00802000 0989 f0ff  pc=0012972c  t=2.465580 s=108732
W 00802000 09c9 f0ff  pc=0012973a  t=2.465580 s=108732
W 00802000 0a09 f0ff  pc=0012972c  t=2.465580 s=108732
W 00802000 0a49 f0ff  pc=0012973a  t=2.465581 s=108732
W 00802000 0a89 f0ff  pc=0012972c  t=2.465581 s=108732
W 00802000 0ac9 f0ff  pc=0012973a  t=2.465581 s=108732
W 00802000 0b09 f0ff  pc=0012972c  t=2.465582 s=108732
W 00802000 0b49 f0ff  pc=0012973a  t=2.465582 s=108732
W 00802000 0b89 f0ff  pc=0012972c  t=2.465583 s=108732
W 00802000 0bc9 f0ff  pc=0012973a  t=2.465583 s=108732
W 00802000 0c09 f0ff  pc=0012972c  t=2.465584 s=108732
W 00802000 0c49 f0ff  pc=0012973a  t=2.465584 s=108732
W 00802000 0c89 f0ff  pc=0012972c  t=2.465584 s=108732
W 00802000 0cc9 f0ff  pc=0012973a  t=2.465585 s=108732
W 00802000 0d09 f0ff  pc=0012972c  t=2.465585 s=108732
W 00802000 0d49 f0ff  pc=0012973a  t=2.465585 s=108732
W 00802000 0d89 f0ff  pc=0012972c  t=2.465586 s=108732
W 00802000 0dc9 f0ff  pc=0012973a  t=2.465586 s=108732
W 00802000 0e09 f0ff  pc=0012972c  t=2.465587 s=108732
W 00802000 0e49 f0ff  pc=0012973a  t=2.465587 s=108732
W 00802000 0e89 f0ff  pc=0012972c  t=2.465587 s=108732
W 00802000 0ec9 f0ff  pc=0012973a  t=2.465588 s=108732
W 00802000 0f09 f0ff  pc=0012972c  t=2.465588 s=108732
W 00802000 0f49 f0ff  pc=0012973a  t=2.465588 s=108732
W 00802000 0f89 f0ff  pc=0012972c  t=2.465589 s=108732
W 00802000 0fc9 f0ff  pc=0012973a  t=2.465589 s=108732
W 00802000 0038 ffff  pc=0011ddbc  t=2.465590 s=108732
W 00802000 0039 ffff  pc=0011ddc2  t=2.465590 s=108732
W 00802000 003a ffff  pc=0011ddc8  t=2.465590 s=108732
W 00802000 0078 ffff  pc=0011ddd2  t=2.465590 s=108732
W 00802000 0079 ffff  pc=0011ddd8  t=2.465591 s=108732
W 00802000 007a ffff  pc=0011ddde  t=2.465591 s=108732
W 00802000 003b 0000  pc=0011dde6  t=2.465591 s=108732
W 00802000 003c 0000  pc=0011ddec  t=2.465591 s=108732
W 00802000 003d 0000  pc=0011ddf2  t=2.465591 s=108732
W 00802000 007b 0000  pc=0011ddf8  t=2.465591 s=108732
W 00802000 007c 0000  pc=0011ddfe  t=2.465591 s=108732
W 00802000 007d 0000  pc=0011de04  t=2.465591 s=108732
W 00802000 05bb 0100  pc=0011de0e  t=2.465592 s=108732
W 00802000 05bc 0000  pc=0011de14  t=2.465592 s=108732
W 00802000 05bd 0000  pc=0011de1a  t=2.465592 s=108732
W 00802000 05b9 20ff  pc=0011de22  t=2.465592 s=108732
W 00802000 05ba ffff  pc=0011de28  t=2.465592 s=108732
W 00802000 05b8 00ff  pc=0011de30  t=2.465592 s=108732
W 00802000 05fb 0100  pc=0011de3a  t=2.465592 s=108732
W 00802000 05fc 0000  pc=0011de40  t=2.465592 s=108732
W 00802000 05fd 0000  pc=0011de46  t=2.465593 s=108732
W 00802000 05f9 20ff  pc=0011de4c  t=2.465593 s=108732
W 00802000 05fa ffff  pc=0011de52  t=2.465593 s=108732
W 00802000 05f8 ff00  pc=00131740  t=2.465593 s=108732
R 00800000 0009 f0ff  pc=0012e366  t=2.465595 s=108732
R 00800000 0009 f0ff  pc=0012e370  t=2.465596 s=108732
W 00800000 0009 81ff  pc=0012e398  t=2.465596 s=108732
R 00800000 0009 81ff  pc=0012e328  t=2.465613 s=108733
R 00800000 0009 81ff  pc=0012e332  t=2.465613 s=108733
W 00800000 0009 f0ff  pc=0012e34e  t=2.465614 s=108733
R 00800000 0009 f0ff  pc=0012e366  t=2.465633 s=108734
R 00800000 0009 f0ff  pc=0012e370  t=2.465633 s=108734
W 00800000 0009 81ff  pc=0012e398  t=2.465634 s=108734
R 00800000 0009 81ff  pc=0012e328  t=2.465651 s=108735
R 00800000 0009 81ff  pc=0012e332  t=2.465651 s=108735
W 00800000 0009 f0ff  pc=0012e34e  t=2.465651 s=108735
R 00800000 0009 f0ff  pc=0012e366  t=2.465671 s=108736
R 00800000 0009 f0ff  pc=0012e370  t=2.465671 s=108736
W 00800000 0009 81ff  pc=0012e398  t=2.465671 s=108736
R 00800000 0009 81ff  pc=0012e328  t=2.465688 s=108736
R 00800000 0009 81ff  pc=0012e332  t=2.465689 s=108736
W 00800000 0009 f0ff  pc=0012e34e  t=2.465689 s=108736
R 00800000 0009 f0ff  pc=0012e366  t=2.465708 s=108737
R 00800000 0009 f0ff  pc=0012e370  t=2.465708 s=108737
W 00800000 0009 81ff  pc=0012e398  t=2.465709 s=108737
R 00800000 0009 81ff  pc=0012e328  t=2.465726 s=108738
R 00800000 0009 81ff  pc=0012e332  t=2.465726 s=108738
W 00800000 0009 f0ff  pc=0012e34e  t=2.465727 s=108738
R 00800000 0009 f0ff  pc=0012e366  t=2.465746 s=108739
R 00800000 0009 f0ff  pc=0012e370  t=2.465746 s=108739
W 00800000 0009 81ff  pc=0012e398  t=2.465747 s=108739
R 00800000 0009 81ff  pc=0012e328  t=2.465764 s=108740
R 00800000 0009 81ff  pc=0012e332  t=2.465764 s=108740
W 00800000 0009 f0ff  pc=0012e34e  t=2.465764 s=108740
R 00800000 0009 f0ff  pc=0012e366  t=2.465783 s=108741
R 00800000 0009 f0ff  pc=0012e370  t=2.465783 s=108741
W 00800000 0009 81ff  pc=0012e398  t=2.465784 s=108741
R 00800000 0009 81ff  pc=0012e328  t=2.465801 s=108741
R 00800000 0009 81ff  pc=0012e332  t=2.465801 s=108741
W 00800000 0009 f0ff  pc=0012e34e  t=2.465802 s=108741
R 00800000 0009 f0ff  pc=0012e366  t=2.465821 s=108742
R 00800000 0009 f0ff  pc=0012e370  t=2.465821 s=108742
W 00800000 0009 81ff  pc=0012e398  t=2.465822 s=108742
R 00800000 0009 81ff  pc=0012e328  t=2.465839 s=108743
R 00800000 0009 81ff  pc=0012e332  t=2.465839 s=108743
W 00800000 0009 f0ff  pc=0012e34e  t=2.465839 s=108743
R 00800000 0009 f0ff  pc=0012e366  t=2.465858 s=108744
R 00800000 0009 f0ff  pc=0012e370  t=2.465859 s=108744
W 00800000 0009 81ff  pc=0012e398  t=2.465859 s=108744
R 00800000 0009 81ff  pc=0012e328  t=2.465876 s=108745
R 00800000 0009 81ff  pc=0012e332  t=2.465876 s=108745
W 00800000 0009 f0ff  pc=0012e34e  t=2.465877 s=108745
R 00800000 0009 f0ff  pc=0012e366  t=2.465896 s=108746
R 00800000 0009 f0ff  pc=0012e370  t=2.465896 s=108746
W 00800000 0009 81ff  pc=0012e398  t=2.465897 s=108746
R 00800000 0009 81ff  pc=0012e328  t=2.465914 s=108746
R 00800000 0009 81ff  pc=0012e332  t=2.465914 s=108746
W 00800000 0009 f0ff  pc=0012e34e  t=2.465915 s=108746
R 00800000 0009 f0ff  pc=0012e366  t=2.465934 s=108747
R 00800000 0009 f0ff  pc=0012e370  t=2.465934 s=108747
W 00800000 0009 81ff  pc=0012e398  t=2.465935 s=108747
R 00800000 0009 81ff  pc=0012e328  t=2.465952 s=108748
R 00800000 0009 81ff  pc=0012e332  t=2.465952 s=108748
W 00800000 0009 f0ff  pc=0012e34e  t=2.465952 s=108748
R 00800000 0009 f0ff  pc=0012e366  t=2.465971 s=108749
R 00800000 0009 f0ff  pc=0012e370  t=2.465972 s=108749
W 00800000 0009 81ff  pc=0012e398  t=2.465972 s=108749
R 00800000 0009 81ff  pc=0012e328  t=2.465989 s=108750
R 00800000 0009 81ff  pc=0012e332  t=2.465989 s=108750
W 00800000 0009 f0ff  pc=0012e34e  t=2.465990 s=108750
R 00800000 0009 f0ff  pc=0012e366  t=2.466009 s=108750
R 00800000 0009 f0ff  pc=0012e370  t=2.466009 s=108751
W 00800000 0009 81ff  pc=0012e398  t=2.466010 s=108751
R 00800000 0009 81ff  pc=0012e328  t=2.466027 s=108751
R 00800000 0009 81ff  pc=0012e332  t=2.466027 s=108751
W 00800000 0009 f0ff  pc=0012e34e  t=2.466027 s=108751
R 00800000 0009 f0ff  pc=0012e366  t=2.466047 s=108752
R 00800000 0009 f0ff  pc=0012e370  t=2.466047 s=108752
W 00800000 0009 81ff  pc=0012e398  t=2.466048 s=108752
R 00800000 0009 81ff  pc=0012e328  t=2.466064 s=108753
R 00800000 0009 81ff  pc=0012e332  t=2.466065 s=108753
W 00800000 0009 f0ff  pc=0012e34e  t=2.466065 s=108753
R 00800000 0009 f0ff  pc=0012e366  t=2.466084 s=108754
R 00800000 0009 f0ff  pc=0012e370  t=2.466084 s=108754
W 00800000 0009 81ff  pc=0012e398  t=2.466085 s=108754
